cv_C,gamma_shape,gamma_scale_relative,mean_relative,sd_relative,q0.005,q0.025,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.975,q0.995
0.15,44.44444444444444,0.0225,1.0,0.15,0.655864883151026,0.7278593196259904,0.7667089885119246,0.8132264475347217,0.895160516041743,0.9925100823029203,1.096678885279181,1.1964046092558043,1.2588427515394074,1.314693054473451,1.428454114315833
0.3,11.11111111111111,0.09,1.0,0.3,0.3950666059793736,0.5012410022039943,0.5627137653247872,0.6399145599931318,0.7847504231076382,0.9701652924419332,1.1827967690130348,1.3985511684042198,1.5391020393096888,1.6681073518916973,1.9396945846507183
0.45,4.938271604938271,0.2025,1.0,0.45,0.2128667497622452,0.32179535259340714,0.39115347243819915,0.4837964758771654,0.6716120652858734,0.9333705367641669,1.2561188998304438,1.6024989816107222,1.8363527286111714,2.055803197999857,2.5304927525241023
