scenario_name,trials_per_cell,parameter,lower_bound,upper_bound,n_at_lower,n_at_upper,n_simulations,min_estimate,max_estimate
S05_new_moderateVar,10,t0_old_s,0.0,0.15,0,0,25,0.014148425709782194,0.020000000001275383
S05_new_moderateVar,10,C_new,0.01,200.0,0,0,25,36.39230219419604,53.59502927243236
S05_new_moderateVar,10,K_new,0.5,6.0,0,0,25,3.358515117585169,3.7547995248930683
S05_new_moderateVar,10,t0_new_s,0.0,0.15,0,0,25,0.014350306679148139,0.020000000051371605
S05_new_moderateVar,10,cv_C_new,0.0001,2.0,4,0,25,0.0001,0.5638852295584611
S05_new_moderateVar,10,C_t0var,0.01,200.0,0,0,25,34.25004659988428,50.30575886252742
S05_new_moderateVar,10,K_t0var,0.5,6.0,0,0,25,3.3624725008001017,3.76237464558584
S05_new_moderateVar,10,t0_t0var_s,0.0,0.15,0,0,25,0.014148066399249598,0.028807067662652838
S05_new_moderateVar,10,sigma_t0_t0var_s,0.0001,0.06,16,0,25,0.0001,0.023379933545395085
S05_new_moderateVar,30,C_old,0.01,200.0,0,0,25,34.036646563475195,42.77478966618711
S05_new_moderateVar,30,K_old,0.5,6.0,0,0,25,3.4673166234875774,3.7415885382010226
S05_new_moderateVar,30,t0_old_s,0.0,0.15,0,0,25,0.01555630991194477,0.019598129312245853
S05_new_moderateVar,30,C_new,0.01,200.0,0,0,25,35.735338922437464,49.18131229033789
S05_new_moderateVar,30,K_new,0.5,6.0,0,0,25,3.434890177134555,3.728784031807716
S05_new_moderateVar,30,t0_new_s,0.0,0.15,0,0,25,0.015926224707765668,0.019637551887759053
S05_new_moderateVar,30,cv_C_new,0.0001,2.0,0,0,25,0.09951534500470528,0.48154588314870456
S05_new_moderateVar,30,C_t0var,0.01,200.0,0,0,25,34.03649803963792,42.774499583904245
S05_new_moderateVar,30,K_t0var,0.5,6.0,0,0,25,3.4673172951952385,3.7209128130730122
S05_new_moderateVar,30,t0_t0var_s,0.0,0.15,0,0,25,0.016108195748013858,0.022144603197204342
