trials_per_cell,n_trials,variability_model,criterion,lr_threshold,expected_false_positive_rate,expected_wins,observed_wins,n_old_truth_datasets,observed_rate,observed_rate_ci_low,observed_rate_ci_high
10,140,new,AIC,2.0,0.07864960352514053,1.9662400881285131,1,25,0.04,0.007096050386699165,0.19544472405022525
10,140,new,BIC,4.941642422609304,0.013108556545162036,0.3277139136290509,1,25,0.04,0.007096050386699165,0.19544472405022525
10,140,t0var,AIC,2.0,0.07864960352514053,1.9662400881285131,5,25,0.2,0.08860454100652487,0.3913133553653824
10,140,t0var,BIC,4.941642422609304,0.013108556545162036,0.3277139136290509,0,25,0.0,0.0,0.13319649395317873
30,420,new,AIC,2.0,0.07864960352514053,5.898720264385539,7,75,0.09333333333333334,0.04594793932894482,0.1803488380068779
30,420,new,BIC,6.040254711277414,0.006991633309689174,0.5243724982266881,0,75,0.0,0.0,0.04872554590470005
30,420,t0var,AIC,2.0,0.07864960352514053,5.898720264385539,3,75,0.04,0.013695816001486477,0.11113168623083756
30,420,t0var,BIC,6.040254711277414,0.006991633309689174,0.5243724982266881,0,75,0.0,0.0,0.04872554590470005
