scenario_name,trials_per_cell,truth_model,n_simulations,true_C,true_K,true_t0_ms,true_cv_C,true_sigma_t0_ms,mean_C_old,sd_C_old,bias_C_old,rmse_C_old,median_C_old,mean_K_old,sd_K_old,bias_K_old,rmse_K_old,median_K_old,mean_t0_ms_old,sd_t0_ms_old,bias_t0_ms_old,rmse_t0_ms_old,median_t0_ms_old,mean_C_new,sd_C_new,bias_C_new,rmse_C_new,median_C_new,mean_K_new,sd_K_new,bias_K_new,rmse_K_new,median_K_new,mean_t0_ms_new,sd_t0_ms_new,bias_t0_ms_new,rmse_t0_ms_new,median_t0_ms_new,mean_cv_C_new,sd_cv_C_new,bias_cv_C_new,rmse_cv_C_new,median_cv_C_new,mean_C_t0var,sd_C_t0var,bias_C_t0var,rmse_C_t0var,median_C_t0var,mean_K_t0var,sd_K_t0var,bias_K_t0var,rmse_K_t0var,median_K_t0var,mean_t0_ms_t0var,sd_t0_ms_t0var,bias_t0_ms_t0var,rmse_t0_ms_t0var,median_t0_ms_t0var,mean_sigma_t0_ms_t0var,sd_sigma_t0_ms_t0var,bias_sigma_t0_ms_t0var,rmse_sigma_t0_ms_t0var,median_sigma_t0_ms_t0var
S01_old_lowC,30,old,25,32.0,3.4,15.0,0.0001,0.0,31.991058699939437,1.8301813530198854,-0.008941300060564714,1.793226472141989,31.768340409071136,3.3815423351957237,0.0649999106957084,-0.018457664804275832,0.06630742224562096,3.3793164333681136,15.413920524915754,1.420320690599267,0.4139205249157562,1.4518776224341838,15.620085088843547,32.36381791409592,1.9509685933515726,0.3638179140959231,1.9458650489619145,32.22810037838731,3.3772499050873477,0.06344587232378268,-0.022750094912651786,0.06619615083117271,3.3710763886313475,15.507199550371112,1.4607389772445107,0.5071995503711151,1.5184397943785413,15.718461673036366,0.06888810161750586,0.09353702877895351,0.06878810161750587,0.11459062634798407,0.0001,32.38237828095535,1.9466495497185803,0.3823782809553491,1.9452711482950487,32.563189602070516,3.3788005768633775,0.06369119791134933,-0.021199423136622996,0.0659069153052466,3.3793173316753315,16.17532249796725,1.9656010630366505,1.1753224979672503,2.256197467350399,16.1775036324149,3.194675734271535,4.491895155499853,3.194675734271535,5.438381216099723,0.1
S02_old_typical,10,old,25,42.0,3.6,18.0,0.0001,0.0,43.03028791027169,3.0496886970143513,1.030287910271694,3.160707243767005,42.97014825147633,3.6295155550094993,0.07647763063433534,0.02951555500949917,0.0805359724313485,3.6360851919200647,18.191217423274498,2.1547090372441366,0.1912174232744959,2.1198170432228416,18.272253709120854,44.85493090587777,5.040636273546238,2.854930905877772,5.704587974414855,43.61677292873501,3.6195749305043607,0.07895923222223182,0.019574930504360707,0.07980197894319357,3.630718606017455,18.538164638572074,2.7998889253143897,0.5381646385720755,2.795607993360953,18.272258437189553,0.13752833529581926,0.13675003921004192,0.13742833529581927,0.19193513914124793,0.12321349684595018,44.78650861181707,4.020111388504384,2.7865086118170734,4.824880723569657,43.734064861772325,3.619978036456091,0.0778549773890422,0.019978036456091176,0.07885469893873952,3.631924179513899,20.225400278076982,3.9256029229599356,2.225400278076982,4.44368657468848,20.022565236953188,3.655988447002071,5.025550700970238,3.655988447002071,6.1328757511231355,0.1
S02_old_typical,30,old,25,42.0,3.6,18.0,0.0001,0.0,42.43466203740344,2.353004752576283,0.4346620374034413,2.346081242791993,42.29063356632009,3.5810640925721886,0.059569855393160356,-0.018935907427811732,0.061361173023453605,3.5811593990849317,18.132929992019143,0.8774324490995993,0.1329299920191444,0.8699210179101399,17.969311971829104,43.228295574844324,2.494492591084211,1.2282955748443236,2.735379968976378,42.29062522061341,3.5754615458185155,0.059984501093857355,-0.02453845418148374,0.06368948492676474,3.565382219035994,18.201208259826704,0.8570455243036521,0.2012082598267044,0.8634991102035112,18.026785457390204,0.09753100252885163,0.10597102124492498,0.09743100252885163,0.14238491248626642,0.0466579918954259,42.73139537219742,2.543169209671267,0.7313953721974087,2.5969097855587826,42.354461500114915,3.5796136302325756,0.060714164105985284,-0.020386369767424365,0.06288374516883616,3.581160486934856,18.50448937634322,1.2795120622514176,0.5044893763432221,1.35136027897529,18.32127340199189,1.0926802927143555,2.2413812395317807,1.0926802927143555,2.4529142847996854,0.1
S03_old_highC,30,old,25,52.0,3.8,20.0,0.0001,0.0,52.62323799930216,2.4767161559102178,0.6232379993021621,2.5054308220429835,52.740501966192234,3.797103043569582,0.05994750369272906,-0.002896956430418225,0.05880771571477602,3.79487158140916,21.005714575084006,1.353633983828228,1.0057145750840095,1.6644800299865725,20.21698740826835,54.933184414471015,3.2522764328288156,2.9331844144710235,4.331025366470174,54.86907321782699,3.7889312897528296,0.06295828459914568,-0.011068710247169876,0.0626714617845806,3.7878298353654474,21.779206193553083,1.8191125892376587,1.7792061935530814,2.518407923075145,21.607897297969796,0.14400465069629576,0.10561979324176132,0.14390465069629577,0.1772508606113889,0.15847515999229822,52.700412067408244,2.4629940075429593,0.7004120674082407,2.512819724157687,52.740454957624706,3.796768633604411,0.05986873790322195,-0.00323136639558923,0.05874807976251003,3.794352931101848,21.085910690445072,1.3005477278282531,1.0859106904450693,1.6742071091378599,20.29543652911641,0.22744837843264992,0.36744118617258015,0.22744837843264992,0.42584653237488984,0.1
S04_new_mildVar,30,new,25,42.0,3.6,18.0,0.15,0.0,41.480577734660116,2.0222102743180725,-0.5194222653398817,2.048306741566332,41.27575624826608,3.607128742707383,0.05966215650770899,0.0071287427073835905,0.05888980365880346,3.6004804414994296,18.263203043795787,0.8456845239189517,0.263203043795789,0.8693968390209105,18.24504634415809,42.49716862558028,2.44724701533627,0.49716862558028085,2.4488025396447903,42.65793216940952,3.5999344854121382,0.05825695565817129,-6.551458786139719e-05,0.05707996372999052,3.5936466758136745,18.343522555218165,0.8186844027474699,0.343522555218167,0.8726065156721676,18.33416327193702,0.13462085846895605,0.097315283145137,-0.015379141531043949,0.0965814255149785,0.14655728059149287,41.937060840735164,2.0666680443963554,-0.0629391592648298,2.0258907846349605,42.17811764947462,3.6042783770875535,0.057958655788618155,0.004278377087553231,0.05694859137936495,3.600481505342158,18.90075984068695,1.5749932052858264,0.9007598406869468,1.7868261648585277,18.593475363452793,1.6550886824334938,3.0366234192015322,1.6550886824334938,3.404637582057878,0.1
S05_new_moderateVar,10,new,25,42.0,3.6,18.0,0.3,0.0,39.521963796910136,3.3672082624113426,-2.478036203089866,4.126164229278472,38.90457464090353,3.633206616664672,0.09482613662013802,0.033206616664672166,0.09866608195911865,3.6362585488371213,17.42603296577507,1.6669175110675079,-0.5739670342249259,1.7311578742368683,17.710019728345284,43.321298285088325,5.028368963309377,1.321298285088324,5.100876768958788,41.535015110731656,3.6031318607251213,0.09286490373242173,0.003131860725121296,0.09104253557005229,3.60563599055919,17.843328240181435,1.5191336368045991,-0.1566717598185646,1.4966637453138787,18.12709563896516,0.27302675530564086,0.16378297566858954,-0.02697324469435912,0.16272499661528725,0.30504117703690464,40.69271782770638,4.151660818179882,-1.3072821722936154,4.272683316750535,40.63031793025077,3.625332385979768,0.09493727543386894,0.0253323859797678,0.09640691155493976,3.618622498150892,18.94589380892429,3.386303742479861,0.9458938089242882,3.450084928322937,18.040896862306628,3.3076341732126053,5.874071315456906,3.3076341732126053,6.638145003697532,0.1
S05_new_moderateVar,30,new,25,42.0,3.6,18.0,0.3,0.0,38.33033306275856,2.1136254032915374,-3.6696669372414394,4.2136885601459335,38.66284911043111,3.5956644311053503,0.06932999298011391,-0.004335568894649935,0.0680674604139011,3.5832969586187766,17.56833360876734,0.9762470952010277,-0.431666391232662,1.0494150411408902,17.65500235299067,41.404045147330756,3.018225879631869,-0.5959548526692441,3.0166972251918827,40.87939793742332,3.5695449597772075,0.0678947163178946,-0.03045504022279353,0.07316292967551162,3.5759889646787872,17.97830269178203,0.8482546615083061,-0.021697308217968968,0.8313996061603913,17.919135193524596,0.2796587680957829,0.08574232027070777,-0.02034123190421712,0.08643749985607856,0.2777974704821258,38.83184536090277,2.1512297661767765,-3.1681546390972324,3.805243979542298,38.86919303461956,3.59177117519844,0.0673631033156416,-0.008228824801559825,0.06651307945356326,3.5815370423921062,18.327442205079045,1.6848850667205773,0.32744220507904415,1.6830040339234813,17.78440770225736,2.5164719905232342,4.740954003899245,2.5164719905232342,5.283011485080523,0.1
S06_new_strongVar,10,new,25,42.0,3.6,18.0,0.45,0.0,35.00384232194093,4.239661416426236,-6.996157678059076,8.136458813584747,34.18165153771443,3.697477022809289,0.09524947172348575,0.09747702280928883,0.13494937333986254,3.6908170058380767,16.440854386440286,2.475320783315695,-1.559145613559713,2.883237677574385,16.924519916321376,41.43535180989153,6.946011936096673,-0.5646481901084661,6.82905748418728,41.48537926575843,3.6318706176483295,0.08983959464523798,0.03187061764832876,0.09361646716612314,3.629702863978691,17.77678449950583,2.3721711819151667,-0.22321550049416955,2.334937564757848,17.998599956539636,0.41288542971110564,0.13699870777105372,-0.03711457028889432,0.13926733795628574,0.4115230087026895,35.8502972018386,4.719391075595638,-6.149702798161408,7.694192000798363,34.95970578543648,3.6871895859705925,0.09478439797639648,0.08718958597059277,0.12738423260938297,3.686510027675406,17.752404775750882,3.5511213752332096,-0.24759522424911878,3.4881725725433435,17.351973591588767,7.017595860600096,10.014469536156774,7.017595860600096,12.063360549602221,0.1
S06_new_strongVar,30,new,25,42.0,3.6,18.0,0.45,0.0,35.347154428662606,1.6251998778833021,-6.652845571337398,6.840758572951735,35.118260964076676,3.664753383236902,0.068037163930692,0.06475338323690184,0.09293489166791805,3.6689455512929388,16.56357037356135,1.4379978660628618,-1.4364296264386487,2.012077140668311,16.569433379019937,42.25583473552199,2.497627032768304,0.25583473552198455,2.4605012852916794,41.87320099074985,3.5930786301837467,0.058137016686013586,-0.006921369816253406,0.05738136945836317,3.5947883785003283,17.82037632876511,0.8611636470858005,-0.17962367123488718,0.8626722304835894,17.77334397316867,0.44036364567676545,0.07053924335992694,-0.009636354323234526,0.06978261090187352,0.42231831814072496,35.44815615740927,1.7110330819160486,-6.551843842590732,6.762927367405981,35.11812107846722,3.6635757844580694,0.06793984281864032,0.063575784458069,0.09204927876953485,3.6678014573291433,16.723907209955584,1.577747099767157,-1.2760927900444152,2.0045266980497085,16.83486275062285,2.243042630258455,3.2484216634263245,2.243042630258455,3.893763451012082,0.3812007607827711
S07_t0var_moderate,30,t0var,25,42.0,3.6,18.0,0.0,10.0,39.92501557032866,2.115588524482359,-2.074984429671342,2.932958676166968,39.94632862906569,3.623296371734781,0.05277404083186604,0.023296371734780764,0.056713458246695,3.6187478091644865,15.386992285763581,1.7241268103568719,-2.6130077142364185,3.1115137863301743,15.66993575105834,40.47625063192808,2.0506425874997847,-1.5237493680719247,2.521654567441919,40.684193806496346,3.618624223092388,0.052365004473122485,0.018624223092388217,0.05458270450908767,3.6164124070986126,15.521543632187909,1.6337479993158144,-2.4784563678120914,2.9504428805530187,15.669936394320635,0.07653609272463258,0.09675380371181656,0.07653609272463258,0.12183849999466546,0.0001,41.54328612379605,2.829933339379336,-0.4567138762039451,2.8101191010052733,41.603974524037646,3.6121189811069114,0.05367115991516342,0.012118981106911573,0.05396516814986463,3.605303741945244,17.458535698088184,3.003137666570543,-0.5414643019118178,2.9918666415541697,17.12239931480233,7.037368906939791,5.333364690936019,-2.962631093060209,6.007010135086278,7.209000195750838
