scenario_name,trials_per_cell,truth_model,n_simulations,corr_C_new__cv_C_new,corr_t0_new_ms__cv_C_new,corr_K_new__cv_C_new,corr_C_t0var__sigma_t0_t0var_ms,corr_t0_t0var_ms__sigma_t0_t0var_ms,corr_C_old__t0_old_ms,corr_C_new__t0_new_ms
S01_old_lowC,30,old,25,0.31950165211746007,0.3632283022939626,0.15388969790710408,0.26689187649405605,0.517796679583106,0.5987500694357676,0.6695363160687472
S02_old_typical,10,old,25,0.7004898790113506,0.47851970305863456,-0.22150812967230643,0.5266977137408354,0.7557012047825448,0.5210124262748133,0.6627465067500402
S02_old_typical,30,old,25,0.267256213572245,0.24258457662814273,-0.10885320808146434,0.3045510126642773,0.485671111989559,0.2415518476447134,0.30377074541462656
S03_old_highC,30,old,25,0.5506844404906518,0.3188844466703371,-0.3370070218620136,0.46891781718370923,0.7197114463851904,0.46768222029975964,0.5704788731519048
S04_new_mildVar,30,new,25,0.5945682121612915,0.31232583284034016,-0.08355169188950275,0.16825538787551675,0.753027630096258,0.48758833243615146,0.5448159830674832
S05_new_moderateVar,10,new,25,0.6370328704983279,0.3359913853774766,-0.28441470500114713,0.40306554210690876,0.6983851997480646,0.29219298085029166,0.34917462737983523
S05_new_moderateVar,30,new,25,0.6093228682335906,0.17052434522150048,-0.16340984545093779,0.20109950401049434,0.6550037153235094,0.40260579979644684,0.38018757598375935
S06_new_strongVar,10,new,25,0.5034428472240589,0.023046478914574016,-0.4282500603839558,0.15617103543593727,0.3949451356703294,0.6320520078916202,0.6301367621741846
S06_new_strongVar,30,new,25,0.7212393596044858,0.48284637553382465,0.008949538243046205,-0.04576787600603174,-0.09069608086494439,0.5587993328057727,0.5330883511859767
S07_t0var_moderate,30,t0var,25,0.18196535995971688,-0.20784607155156104,-0.02940382052910036,0.43913519616521096,0.5761379863750896,0.5312561905244849,0.4077583762234957
S08_t0var_strong,10,t0var,25,0.6721864634952988,0.15615470249819285,-0.42128811578672215,0.06562971292744588,-0.001301532496076604,0.9044794002487427,0.7656851099264707
S08_t0var_strong,30,t0var,25,0.7250352723986481,0.3926472736718866,-0.33575891117441137,0.14376319686009373,0.3226388269878005,0.30799662782802817,0.500338860112296
