display_size,exposure_ms,variability_type,kl_from_fixed_per_trial,mean_score_variability_model,mean_score_fixed_model,var_score_variability_model,var_score_fixed_model
6,20,speed_cv_0.15,7.278340989307505e-07,0.08340143837047294,0.08341451215352703,0.0823692164408515,0.0822535397767564
6,20,speed_cv_0.3,1.1345382745416485e-05,0.08336223531165003,0.08341451215352703,0.0827152184540536,0.0822535397767564
6,20,speed_cv_0.45,5.510365151026556e-05,0.08329695372260723,0.08341451215352703,0.0832884494954706,0.0822535397767564
6,20,t0_sigma_10ms,0.0765354381653202,0.2011517471773592,0.08341451215352703,0.24845828886603524,0.0822535397767564
6,20,t0_sigma_20ms,0.28820371142895707,0.3460011358188866,0.08341451215352703,0.4891849248413121,0.0822535397767564
6,40,speed_cv_0.15,7.164890259990351e-05,0.8524853401512477,0.8540911705090792,0.7307708837833711,0.7214374588389233
6,40,speed_cv_0.3,0.0010685178033986008,0.8476563381630122,0.8540911705090792,0.7576263934456688,0.7214374588389233
6,40,speed_cv_0.45,0.004844294843477209,0.8395887490424118,0.8540911705090792,0.7988147052854971,0.7214374588389233
6,40,t0_sigma_10ms,0.005617318625023151,0.8415181780655066,0.8540911705090792,0.8067522733648886,0.7214374588389233
6,40,t0_sigma_20ms,0.04337101413920479,0.8544867553458966,0.8540911705090792,0.9973238934495438,0.7214374588389233
6,60,speed_cv_0.15,0.00020210883358899676,1.5009621680518614,1.5069419356688816,1.0645254155154573,1.042965713074409
6,60,speed_cv_0.3,0.002919093609710427,1.483235776085574,1.5069419356688816,1.124906703895609,1.042965713074409
6,60,speed_cv_0.45,0.012660356218558426,1.454484578850917,1.5069419356688816,1.2129926501719384,1.042965713074409
6,60,t0_sigma_10ms,0.0013479155359059844,1.49191640325047,1.5069419356688816,1.0990964482444077,1.042965713074409
6,60,t0_sigma_20ms,0.020250670937780255,1.4530344841824243,1.5069419356688816,1.2639095704711822,1.042965713074409
6,80,speed_cv_0.15,0.0003453030432104395,2.0275783850165037,2.039799948422084,1.1394581447707344,1.1081321150064616
6,80,speed_cv_0.3,0.0049093682133287166,1.9920975809646415,2.039799948422084,1.2265336613217501,1.1081321150064616
